PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN,PCP_TN,PCP_SM,PCP_LR,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5 
0.188,0.312,0.5,0.062,0.25,0.25,0.0,0.062,0.312,0.188,0.5,0.25,0.375,0.312,0.0,0.0,0.312,0.312,0.375,0.25,0.625,0.125,0.0,0.5,0.5,1.179,0.35,-0.131,-0.836,-0.21
0.125,0.125,0.75,0.25,0.312,0.312,0.062,0.125,0.125,0.125,0.75,0.312,0.375,0.25,0.0,0.0,0.438,0.312,0.25,0.25,0.625,0.188,0.062,0.438,0.562,0.492,0.249,-0.403,-0.696,-0.176
0.188,0.125,0.688,0.25,0.312,0.312,0.188,0.062,0.125,0.188,0.688,0.25,0.5,0.375,0.188,0.0,0.25,0.125,0.625,0.125,0.5,0.562,0.25,0.688,0.312,1.221,0.16,0.634,-0.138,0.244
0.25,0.188,0.562,0.125,0.312,0.312,0.125,0.062,0.188,0.25,0.562,0.312,0.5,0.25,0.0,0.0,0.562,0.125,0.312,0.188,0.562,0.312,0.0,0.375,0.625,0.737,0.639,-0.221,-0.109,0.137
0.0,0.0,1.0,0.375,0.562,0.375,0.0,0.125,0.0,0.0,1.0,0.688,0.062,0.312,0.188,0.125,0.375,0.5,0.125,0.438,0.188,0.375,0.188,0.562,0.438,-0.825,-0.822,-0.352,-0.459,-0.104
0.0,0.0,1.0,0.25,0.75,0.625,0.0,0.25,0.0,0.0,1.0,0.812,0.0,0.0,0.0,0.125,0.25,0.75,0.0,0.75,0.0,0.25,0.125,0.375,0.625,-2.762,-0.831,-0.446,-0.295,-0.311
0.062,0.125,0.812,0.125,0.625,0.312,0.0,0.375,0.125,0.062,0.812,0.625,0.125,0.125,0.0,0.062,0.312,0.562,0.125,0.562,0.188,0.25,0.0,0.25,0.75,-1.882,0.723,-0.001,0.203,-0.466
0.125,0.312,0.562,0.375,0.062,0.062,0.0,0.312,0.312,0.125,0.562,0.062,0.25,0.375,0.0,0.062,0.188,0.375,0.438,0.125,0.5,0.375,0.125,0.5,0.5,1.255,1.033,0.855,-0.639,-0.653
0.188,0.062,0.75,0.25,0.5,0.5,0.062,0.125,0.062,0.188,0.75,0.625,0.25,0.125,0.062,0.062,0.438,0.5,0.062,0.5,0.188,0.312,0.25,0.625,0.375,-0.213,-0.664,-0.307,0.001,-0.012
0.125,0.062,0.812,0.188,0.562,0.562,0.0,0.0,0.062,0.125,0.812,0.688,0.188,0.25,0.125,0.0,0.312,0.562,0.125,0.562,0.25,0.188,0.062,0.5,0.5,-0.771,-1.058,-0.956,-0.578,0.157
0.25,0.125,0.625,0.125,0.438,0.375,0.062,0.125,0.125,0.25,0.625,0.375,0.375,0.25,0.062,0.0,0.375,0.25,0.375,0.375,0.25,0.25,0.188,0.5,0.5,0.596,0.279,-0.29,0.02,0.128
0.312,0.125,0.562,0.188,0.25,0.25,0.0,0.125,0.125,0.312,0.562,0.312,0.438,0.125,0.0,0.062,0.375,0.438,0.188,0.312,0.375,0.188,0.062,0.375,0.625,0.63,0.477,-0.609,-0.004,-0.466
0.125,0.25,0.625,0.188,0.312,0.312,0.0,0.0,0.25,0.125,0.625,0.25,0.25,0.5,0.125,0.0,0.375,0.125,0.5,0.312,0.5,0.188,0.312,0.688,0.312,1.781,-0.349,0.294,-0.89,0.227
0.125,0.25,0.625,0.375,0.25,0.25,0.062,0.312,0.25,0.125,0.625,0.188,0.188,0.375,0.0,0.0,0.312,0.438,0.25,0.188,0.438,0.438,0.062,0.375,0.625,0.2,0.553,0.077,-0.536,-0.232
0.188,0.125,0.688,0.375,0.125,0.125,0.0,0.25,0.125,0.188,0.688,0.25,0.375,0.188,0.062,0.062,0.25,0.5,0.25,0.188,0.375,0.438,0.062,0.438,0.562,0.526,0.774,0.252,-0.154,-0.783
0.188,0.062,0.75,0.25,0.5,0.438,0.0,0.25,0.062,0.188,0.75,0.5,0.188,0.125,0.0,0.0,0.438,0.5,0.062,0.5,0.188,0.312,0.062,0.25,0.75,-1.26,0.114,-0.501,0.074,0.021
0.0,0.0,1.0,0.188,0.812,0.625,0.0,0.25,0.0,0.0,1.0,0.812,0.0,0.062,0.0,0.125,0.188,0.75,0.062,0.812,0.0,0.188,0.188,0.5,0.5,-2.391,-1.092,-0.281,-0.271,-0.352
0.188,0.062,0.75,0.188,0.5,0.375,0.0,0.188,0.062,0.188,0.75,0.562,0.25,0.125,0.062,0.062,0.312,0.562,0.125,0.562,0.188,0.25,0.125,0.188,0.812,-1.131,0.019,-0.229,0.006,-0.245
0.25,0.125,0.625,0.312,0.25,0.125,0.0,0.125,0.125,0.25,0.625,0.438,0.312,0.312,0.188,0.125,0.438,0.375,0.188,0.25,0.25,0.438,0.188,0.438,0.562,0.764,0.319,0.024,0.309,-0.378
0.188,0.0,0.812,0.562,0.188,0.188,0.0,0.062,0.0,0.188,0.812,0.375,0.25,0.5,0.5,0.0,0.25,0.375,0.375,0.188,0.125,0.688,0.375,0.688,0.312,0.981,-0.608,-0.048,-0.311,0.069
0.062,0.125,0.812,0.375,0.312,0.25,0.0,0.25,0.125,0.062,0.812,0.312,0.188,0.312,0.0,0.125,0.125,0.5,0.375,0.438,0.312,0.25,0.25,0.562,0.438,0.359,0.061,0.75,-0.436,-0.739
0.125,0.125,0.75,0.312,0.375,0.312,0.0,0.125,0.125,0.125,0.75,0.375,0.188,0.438,0.125,0.062,0.375,0.312,0.312,0.438,0.25,0.25,0.375,0.625,0.375,1.068,-0.511,0.237,-0.435,-0.199
0.125,0.312,0.562,0.188,0.312,0.312,0.0,0.125,0.312,0.125,0.562,0.375,0.188,0.375,0.062,0.0,0.625,0.25,0.125,0.312,0.438,0.25,0.125,0.375,0.625,0.577,-0.047,-0.205,-0.896,-0.034
0.062,0.062,0.875,0.25,0.562,0.562,0.0,0.125,0.062,0.062,0.875,0.438,0.125,0.312,0.062,0.062,0.125,0.5,0.375,0.625,0.125,0.25,0.375,0.812,0.188,0.068,-1.316,0.183,-0.481,-0.352
0.438,0.188,0.375,0.125,0.188,0.188,0.0,0.062,0.188,0.438,0.375,0.0,0.5,0.438,0.0,0.0,0.562,0.062,0.375,0.188,0.375,0.375,0.188,0.375,0.625,2.352,0.478,0.011,0.632,-0.107
0.125,0.125,0.75,0.375,0.312,0.125,0.0,0.188,0.125,0.125,0.75,0.438,0.188,0.188,0.062,0.312,0.438,0.375,0.188,0.25,0.25,0.5,0.188,0.312,0.688,-0.336,0.304,0.544,0.131,-0.724
0.188,0.25,0.562,0.188,0.312,0.25,0.0,0.125,0.25,0.188,0.562,0.188,0.25,0.5,0.062,0.0,0.375,0.188,0.438,0.312,0.375,0.25,0.25,0.562,0.438,1.597,0.237,0.266,-0.229,-0.051
0.062,0.062,0.875,0.312,0.5,0.375,0.0,0.188,0.062,0.062,0.875,0.625,0.125,0.25,0.188,0.062,0.188,0.625,0.188,0.562,0.188,0.25,0.188,0.375,0.625,-1.162,-0.485,-0.249,-0.661,-0.257
0.0,0.125,0.875,0.25,0.625,0.5,0.0,0.25,0.125,0.0,0.875,0.625,0.0,0.188,0.0,0.125,0.188,0.625,0.188,0.625,0.125,0.25,0.188,0.562,0.438,-1.383,-0.671,0.124,-0.504,-0.326
0.062,0.125,0.812,0.375,0.375,0.312,0.062,0.062,0.125,0.062,0.812,0.5,0.188,0.375,0.25,0.125,0.25,0.312,0.438,0.438,0.312,0.312,0.375,0.625,0.375,0.172,-0.542,0.566,-0.766,-0.008
0.188,0.188,0.625,0.312,0.25,0.188,0.0,0.25,0.188,0.188,0.625,0.312,0.25,0.25,0.062,0.062,0.312,0.5,0.188,0.188,0.312,0.5,0.0,0.375,0.625,0.001,0.555,-0.056,-0.107,-0.432
0.125,0.062,0.812,0.375,0.375,0.312,0.062,0.188,0.062,0.125,0.812,0.5,0.25,0.188,0.062,0.125,0.25,0.562,0.188,0.312,0.25,0.5,0.062,0.5,0.5,-0.53,0.051,0.119,0.059,-0.391
0.188,0.25,0.562,0.125,0.375,0.312,0.0,0.125,0.25,0.188,0.562,0.438,0.25,0.312,0.062,0.0,0.375,0.375,0.25,0.375,0.375,0.125,0.062,0.562,0.438,0.601,0.076,-0.494,-0.649,-0.003
0.375,0.188,0.438,0.188,0.188,0.188,0.062,0.062,0.188,0.375,0.438,0.312,0.5,0.25,0.062,0.062,0.5,0.25,0.25,0.188,0.375,0.438,0.125,0.5,0.5,1.553,0.552,0.235,0.528,-0.069
0.125,0.062,0.812,0.188,0.625,0.312,0.0,0.188,0.062,0.125,0.812,0.75,0.125,0.125,0.062,0.25,0.562,0.375,0.062,0.5,0.062,0.375,0.125,0.312,0.688,-1.456,0.021,-0.04,0.552,-0.325
0.188,0.125,0.688,0.125,0.5,0.5,0.125,0.062,0.125,0.188,0.688,0.5,0.375,0.188,0.0,0.0,0.438,0.312,0.25,0.375,0.438,0.25,0.125,0.562,0.438,0.196,-0.166,-0.333,-0.178,0.319
0.062,0.125,0.812,0.125,0.625,0.562,0.0,0.0,0.125,0.062,0.812,0.5,0.125,0.375,0.125,0.062,0.25,0.375,0.375,0.562,0.188,0.188,0.312,0.75,0.25,0.193,-1.401,-0.373,-0.773,-0.014
0.062,0.0,0.938,0.312,0.625,0.438,0.062,0.312,0.0,0.062,0.938,0.688,0.125,0.062,0.0,0.125,0.375,0.562,0.062,0.562,0.125,0.375,0.188,0.375,0.625,-1.774,-0.058,0.198,0.19,-0.179
0.375,0.125,0.5,0.062,0.438,0.438,0.062,0.062,0.125,0.375,0.5,0.25,0.438,0.312,0.0,0.0,0.562,0.125,0.312,0.375,0.188,0.125,0.312,0.5,0.5,1.753,-0.035,-1.011,0.224,0.091
0.125,0.188,0.688,0.312,0.25,0.25,0.0,0.062,0.188,0.125,0.688,0.5,0.25,0.438,0.25,0.0,0.25,0.5,0.25,0.25,0.375,0.312,0.062,0.688,0.312,0.913,-0.429,-0.525,-0.954,-0.211
0.0,0.0,1.0,0.562,0.375,0.375,0.0,0.438,0.0,0.0,1.0,0.5,0.062,0.0,0.0,0.125,0.0,0.938,0.062,0.5,0.062,0.438,0.125,0.25,0.75,-2.193,0.254,0.086,-0.348,-0.995
0.25,0.0,0.75,0.25,0.375,0.375,0.062,0.062,0.0,0.25,0.75,0.375,0.438,0.25,0.125,0.0,0.5,0.188,0.312,0.312,0.312,0.438,0.312,0.625,0.375,1.042,-0.232,0.116,0.334,0.145
0.312,0.312,0.375,0.188,0.062,0.062,0.0,0.062,0.312,0.312,0.375,0.125,0.438,0.438,0.062,0.0,0.438,0.188,0.375,0.062,0.625,0.312,0.0,0.438,0.562,2.074,0.867,0.103,-0.256,-0.033
0.125,0.0,0.875,0.375,0.438,0.438,0.062,0.125,0.0,0.125,0.875,0.438,0.25,0.312,0.125,0.0,0.375,0.375,0.25,0.375,0.25,0.438,0.25,0.562,0.438,0.084,-0.456,-0.114,-0.109,0.104
0.25,0.188,0.562,0.25,0.312,0.312,0.062,0.125,0.188,0.25,0.562,0.375,0.312,0.25,0.0,0.062,0.5,0.375,0.125,0.312,0.375,0.375,0.125,0.438,0.562,0.514,0.121,0.059,0.099,-0.054
0.062,0.188,0.75,0.25,0.438,0.438,0.0,0.062,0.188,0.062,0.75,0.625,0.125,0.312,0.125,0.062,0.188,0.625,0.188,0.5,0.312,0.188,0.125,0.625,0.375,-0.187,-0.899,-0.309,-0.971,-0.184
0.125,0.0,0.875,0.562,0.25,0.188,0.0,0.312,0.0,0.125,0.875,0.5,0.188,0.188,0.188,0.125,0.25,0.688,0.062,0.25,0.125,0.625,0.125,0.438,0.562,-0.681,0.096,-0.054,0.022,-0.741
0.062,0.0,0.938,0.25,0.688,0.5,0.0,0.188,0.0,0.062,0.938,0.812,0.062,0.0,0.0,0.25,0.188,0.812,0.0,0.688,0.062,0.25,0.125,0.562,0.438,-2.066,-1.018,-0.294,-0.028,-0.649
0.125,0.312,0.562,0.188,0.312,0.25,0.0,0.125,0.312,0.125,0.562,0.312,0.188,0.375,0.0,0.062,0.5,0.312,0.188,0.25,0.5,0.25,0.0,0.375,0.625,0.429,0.19,-0.243,-0.774,-0.184
0.0,0.0,1.0,0.125,0.875,0.562,0.0,0.188,0.0,0.0,1.0,0.875,0.0,0.0,0.0,0.25,0.25,0.75,0.0,0.625,0.0,0.375,0.0,0.5,0.5,-2.832,-1.057,-0.639,0.046,-0.461
0.125,0.188,0.688,0.062,0.562,0.5,0.0,0.0,0.188,0.125,0.688,0.562,0.188,0.25,0.0,0.062,0.438,0.375,0.188,0.5,0.375,0.125,0.0,0.312,0.688,-0.72,-0.496,-0.707,-0.601,0.15
0.125,0.438,0.438,0.188,0.188,0.188,0.0,0.188,0.438,0.125,0.438,0.125,0.188,0.5,0.0,0.0,0.312,0.25,0.438,0.188,0.5,0.312,0.125,0.562,0.438,1.637,0.562,0.731,-0.839,-0.106
0.062,0.25,0.688,0.062,0.438,0.438,0.0,0.0,0.25,0.062,0.688,0.312,0.25,0.5,0.062,0.0,0.312,0.25,0.438,0.438,0.438,0.125,0.25,0.688,0.312,1.438,-0.948,0.047,-1.108,-0.298
0.188,0.25,0.562,0.125,0.188,0.188,0.0,0.062,0.25,0.188,0.562,0.188,0.438,0.312,0.0,0.062,0.25,0.25,0.5,0.25,0.562,0.125,0.125,0.625,0.375,1.838,0.451,0.335,-0.621,-0.529
0.312,0.062,0.625,0.188,0.125,0.125,0.0,0.062,0.062,0.312,0.625,0.25,0.625,0.188,0.125,0.0,0.312,0.312,0.375,0.125,0.438,0.438,0.0,0.562,0.438,1.493,0.714,0.039,0.269,-0.541
0.062,0.25,0.688,0.375,0.25,0.188,0.0,0.188,0.25,0.062,0.688,0.312,0.125,0.438,0.062,0.062,0.375,0.375,0.25,0.188,0.5,0.312,0.062,0.5,0.5,0.577,0.242,-0.031,-0.875,-0.157
0.25,0.25,0.5,0.125,0.062,0.062,0.0,0.062,0.25,0.25,0.5,0.125,0.562,0.312,0.062,0.0,0.312,0.188,0.5,0.062,0.688,0.25,0.0,0.562,0.438,2.134,0.96,0.251,-0.478,-0.429
0.188,0.312,0.5,0.312,0.125,0.125,0.062,0.062,0.312,0.188,0.5,0.188,0.312,0.562,0.062,0.0,0.5,0.125,0.375,0.062,0.688,0.312,0.062,0.5,0.5,1.959,0.631,0.257,-0.601,0.315
0.188,0.25,0.562,0.25,0.188,0.188,0.0,0.125,0.25,0.188,0.562,0.188,0.312,0.438,0.062,0.0,0.375,0.25,0.375,0.188,0.5,0.312,0.125,0.562,0.438,1.594,0.329,0.219,-0.498,-0.157
0.188,0.062,0.75,0.375,0.312,0.312,0.062,0.25,0.062,0.188,0.75,0.375,0.312,0.125,0.062,0.062,0.188,0.562,0.25,0.312,0.25,0.438,0.125,0.312,0.688,-0.552,0.516,-0.074,0.004,-0.341
0.062,0.188,0.75,0.375,0.375,0.312,0.0,0.188,0.188,0.062,0.75,0.562,0.062,0.375,0.188,0.062,0.25,0.625,0.125,0.438,0.188,0.375,0.188,0.562,0.438,-0.207,-0.553,0.049,-0.73,-0.281
0.125,0.125,0.75,0.25,0.438,0.312,0.0,0.125,0.125,0.125,0.75,0.5,0.188,0.25,0.062,0.125,0.375,0.5,0.125,0.312,0.312,0.375,0.0,0.312,0.688,-0.639,-0.129,-0.521,-0.27,-0.288
0.062,0.062,0.875,0.5,0.312,0.25,0.0,0.125,0.062,0.062,0.875,0.375,0.125,0.375,0.188,0.25,0.125,0.438,0.438,0.438,0.125,0.438,0.5,0.75,0.25,0.636,-0.779,1.049,-0.291,-0.714
0.188,0.125,0.688,0.25,0.312,0.25,0.0,0.125,0.125,0.188,0.688,0.312,0.312,0.375,0.125,0.0,0.375,0.312,0.312,0.312,0.5,0.188,0.125,0.438,0.562,0.592,-0.062,-0.492,-0.636,-0.141
0.188,0.312,0.5,0.062,0.375,0.312,0.0,0.0,0.312,0.188,0.5,0.375,0.25,0.438,0.062,0.062,0.562,0.25,0.188,0.312,0.5,0.125,0.125,0.438,0.562,1.168,-0.495,-0.652,-0.864,-0.103
0.25,0.312,0.438,0.125,0.125,0.125,0.0,0.062,0.312,0.25,0.438,0.0,0.438,0.5,0.0,0.0,0.375,0.062,0.562,0.125,0.562,0.25,0.125,0.562,0.438,2.651,0.751,0.483,-0.349,-0.222
0.25,0.312,0.438,0.25,0.125,0.062,0.0,0.125,0.312,0.25,0.438,0.25,0.312,0.438,0.125,0.062,0.5,0.312,0.188,0.062,0.562,0.375,0.0,0.312,0.688,1.21,0.466,-0.329,-0.535,-0.269
0.188,0.125,0.688,0.25,0.375,0.375,0.062,0.0,0.125,0.188,0.688,0.375,0.312,0.438,0.188,0.0,0.375,0.25,0.375,0.312,0.312,0.312,0.25,0.625,0.375,1.156,-0.449,-0.383,-0.447,0.211
0.188,0.25,0.562,0.125,0.375,0.375,0.062,0.062,0.25,0.188,0.562,0.375,0.312,0.375,0.062,0.0,0.438,0.188,0.375,0.312,0.438,0.25,0.25,0.625,0.375,1.363,-0.138,0.162,-0.437,0.283
0.062,0.312,0.625,0.188,0.375,0.375,0.0,0.062,0.312,0.062,0.625,0.188,0.125,0.625,0.062,0.0,0.312,0.188,0.5,0.375,0.438,0.188,0.312,0.688,0.312,1.656,-0.689,0.351,-1.106,0.013
0.0,0.188,0.812,0.25,0.5,0.375,0.062,0.062,0.188,0.0,0.812,0.562,0.125,0.438,0.062,0.062,0.5,0.25,0.25,0.375,0.5,0.188,0.062,0.438,0.562,-0.213,-0.265,-0.182,-0.918,0.302
0.188,0.188,0.625,0.062,0.562,0.5,0.0,0.062,0.188,0.188,0.625,0.25,0.188,0.5,0.0,0.062,0.5,0.125,0.375,0.5,0.188,0.188,0.375,0.5,0.5,1.121,-0.996,-0.298,-0.281,-0.139
0.125,0.125,0.75,0.375,0.312,0.25,0.0,0.125,0.125,0.125,0.75,0.375,0.188,0.438,0.312,0.0,0.312,0.312,0.375,0.312,0.25,0.438,0.312,0.562,0.438,0.496,-0.276,0.091,-0.641,0.116
0.375,0.125,0.5,0.25,0.25,0.125,0.0,0.125,0.125,0.375,0.5,0.312,0.375,0.312,0.062,0.125,0.625,0.25,0.125,0.25,0.25,0.25,0.188,0.312,0.688,1.363,0.654,-0.676,0.606,-0.331
0.062,0.125,0.812,0.25,0.5,0.375,0.0,0.125,0.125,0.062,0.812,0.625,0.125,0.25,0.125,0.125,0.375,0.438,0.188,0.5,0.25,0.25,0.188,0.5,0.5,-0.662,-0.562,-0.069,-0.589,-0.191
0.25,0.125,0.625,0.375,0.125,0.062,0.0,0.25,0.125,0.25,0.625,0.188,0.375,0.188,0.062,0.125,0.375,0.375,0.25,0.125,0.375,0.5,0.125,0.312,0.688,0.565,0.949,0.299,0.189,-0.656
0.25,0.25,0.5,0.25,0.188,0.125,0.0,0.062,0.25,0.25,0.5,0.125,0.312,0.5,0.062,0.062,0.5,0.125,0.375,0.125,0.562,0.312,0.125,0.375,0.625,1.642,0.419,0.005,-0.284,0.038
0.25,0.125,0.625,0.25,0.312,0.25,0.0,0.125,0.125,0.25,0.625,0.312,0.312,0.375,0.125,0.0,0.438,0.312,0.25,0.312,0.312,0.375,0.188,0.375,0.625,0.78,0.084,-0.077,0.018,-0.016
0.062,0.125,0.812,0.312,0.5,0.375,0.0,0.375,0.125,0.062,0.812,0.5,0.062,0.125,0.0,0.062,0.188,0.75,0.062,0.438,0.125,0.438,0.0,0.25,0.75,-1.853,0.247,-0.249,-0.249,-0.477
0.125,0.125,0.75,0.312,0.188,0.188,0.0,0.062,0.125,0.125,0.75,0.438,0.375,0.375,0.25,0.0,0.25,0.438,0.312,0.188,0.375,0.438,0.062,0.688,0.312,1.153,-0.088,-0.013,-0.621,-0.456
0.0,0.0,1.0,0.312,0.5,0.438,0.0,0.188,0.0,0.0,1.0,0.562,0.188,0.062,0.062,0.125,0.125,0.625,0.25,0.5,0.188,0.312,0.188,0.625,0.375,-0.999,-0.445,0.047,-0.489,-0.654
0.188,0.312,0.5,0.062,0.312,0.312,0.0,0.062,0.312,0.188,0.5,0.25,0.312,0.375,0.0,0.0,0.5,0.125,0.375,0.312,0.5,0.125,0.188,0.562,0.438,1.604,0.106,0.055,-0.688,0.021
0.188,0.125,0.688,0.25,0.188,0.125,0.0,0.188,0.125,0.188,0.688,0.188,0.438,0.188,0.0,0.062,0.438,0.25,0.312,0.125,0.5,0.375,0.062,0.438,0.562,0.966,0.944,0.212,-0.067,-0.556
0.25,0.25,0.5,0.188,0.25,0.25,0.0,0.0,0.25,0.25,0.5,0.312,0.312,0.375,0.0,0.062,0.688,0.188,0.125,0.312,0.5,0.125,0.125,0.375,0.625,1.389,0.066,-0.373,-0.407,-0.032
0.062,0.0,0.938,0.375,0.375,0.25,0.0,0.188,0.0,0.062,0.938,0.5,0.25,0.25,0.188,0.125,0.188,0.5,0.312,0.375,0.188,0.438,0.25,0.625,0.375,0.001,-0.277,0.381,-0.236,-0.681
0.312,0.25,0.438,0.125,0.125,0.125,0.0,0.0,0.25,0.312,0.438,0.062,0.5,0.438,0.0,0.0,0.625,0.0,0.375,0.125,0.625,0.062,0.125,0.438,0.562,2.778,0.763,-0.493,-0.421,-0.106
0.125,0.375,0.5,0.312,0.125,0.125,0.062,0.188,0.375,0.125,0.5,0.25,0.25,0.438,0.062,0.062,0.25,0.375,0.375,0.125,0.625,0.312,0.062,0.562,0.438,1.218,0.546,0.484,-0.962,-0.248
0.312,0.0,0.688,0.375,0.188,0.188,0.062,0.125,0.0,0.312,0.688,0.312,0.5,0.25,0.125,0.062,0.375,0.375,0.25,0.188,0.312,0.438,0.125,0.438,0.562,0.992,0.429,-0.344,0.376,-0.433
0.0,0.0,1.0,0.438,0.562,0.438,0.125,0.25,0.0,0.0,1.0,0.688,0.125,0.188,0.188,0.125,0.188,0.562,0.25,0.438,0.125,0.562,0.25,0.625,0.375,-1.466,-0.497,0.367,-0.217,-0.103
0.188,0.312,0.5,0.125,0.312,0.25,0.0,0.125,0.312,0.188,0.5,0.25,0.25,0.375,0.0,0.062,0.438,0.312,0.25,0.25,0.438,0.312,0.062,0.375,0.625,0.789,0.165,-0.031,-0.452,-0.278
0.062,0.188,0.75,0.062,0.625,0.438,0.0,0.188,0.188,0.062,0.75,0.625,0.125,0.188,0.0,0.062,0.312,0.5,0.188,0.562,0.312,0.125,0.062,0.312,0.688,-1.226,-0.153,-0.247,-0.602,-0.036
0.188,0.0,0.812,0.25,0.562,0.5,0.0,0.125,0.0,0.188,0.812,0.688,0.188,0.125,0.125,0.062,0.375,0.562,0.062,0.625,0.0,0.312,0.25,0.438,0.562,-0.936,-0.659,-0.391,0.155,-0.017
0.188,0.125,0.688,0.188,0.25,0.188,0.0,0.188,0.125,0.188,0.688,0.25,0.438,0.188,0.0,0.0,0.25,0.375,0.375,0.25,0.438,0.312,0.0,0.438,0.562,0.603,0.963,0.27,-0.067,-0.442
0.062,0.125,0.812,0.125,0.625,0.375,0.0,0.312,0.125,0.062,0.812,0.688,0.125,0.125,0.0,0.062,0.188,0.688,0.125,0.688,0.188,0.125,0.062,0.25,0.75,-1.775,0.152,0.102,-0.331,-0.36
0.25,0.312,0.438,0.25,0.125,0.125,0.0,0.25,0.312,0.25,0.438,0.125,0.312,0.312,0.0,0.0,0.375,0.375,0.25,0.125,0.438,0.438,0.0,0.375,0.625,0.973,1.009,0.221,-0.185,-0.325
0.188,0.188,0.625,0.188,0.312,0.312,0.0,0.0,0.188,0.188,0.625,0.375,0.312,0.375,0.062,0.0,0.438,0.312,0.25,0.312,0.438,0.25,0.062,0.562,0.438,1.088,-0.121,-0.195,-0.389,0.045
0.188,0.312,0.5,0.062,0.438,0.438,0.062,0.0,0.312,0.188,0.5,0.312,0.25,0.5,0.062,0.0,0.375,0.188,0.438,0.375,0.375,0.312,0.25,0.688,0.312,1.429,-0.625,0.377,-0.424,0.323
0.062,0.0,0.938,0.125,0.75,0.375,0.0,0.188,0.0,0.062,0.938,0.812,0.125,0.062,0.062,0.25,0.438,0.5,0.062,0.5,0.062,0.438,0.0,0.25,0.75,-2.352,-0.282,-0.304,0.334,-0.399
0.0,0.0,1.0,0.25,0.562,0.375,0.0,0.25,0.0,0.0,1.0,0.625,0.188,0.0,0.0,0.188,0.125,0.688,0.188,0.5,0.188,0.312,0.062,0.438,0.562,-1.687,-0.069,0.023,-0.237,-0.859
0.25,0.062,0.688,0.125,0.5,0.5,0.0,0.0,0.062,0.25,0.688,0.438,0.312,0.312,0.125,0.0,0.438,0.312,0.25,0.5,0.312,0.188,0.25,0.562,0.438,0.44,-1.134,-0.797,-0.285,0.063
0.062,0.0,0.938,0.438,0.5,0.375,0.062,0.438,0.0,0.062,0.938,0.562,0.125,0.0,0.0,0.125,0.188,0.75,0.062,0.438,0.062,0.562,0.125,0.312,0.688,-2.086,0.366,0.251,0.249,-0.575
0.188,0.188,0.625,0.375,0.188,0.125,0.0,0.188,0.188,0.188,0.625,0.312,0.25,0.25,0.062,0.188,0.312,0.438,0.25,0.25,0.312,0.375,0.188,0.438,0.562,0.595,0.462,0.384,-0.149,-0.619
0.188,0.25,0.562,0.25,0.312,0.188,0.0,0.125,0.25,0.188,0.562,0.375,0.188,0.312,0.0,0.188,0.625,0.375,0.0,0.25,0.375,0.312,0.062,0.188,0.812,0.216,0.165,-0.431,-0.282,-0.465
0.062,0.188,0.75,0.312,0.375,0.375,0.062,0.125,0.188,0.062,0.75,0.5,0.188,0.312,0.062,0.062,0.312,0.438,0.25,0.375,0.375,0.312,0.125,0.562,0.438,0.005,-0.196,0.201,-0.653,-0.078
0.438,0.25,0.312,0.062,0.188,0.188,0.0,0.062,0.25,0.438,0.312,0.188,0.5,0.25,0.0,0.0,0.562,0.188,0.25,0.188,0.438,0.312,0.062,0.375,0.625,1.706,0.781,-0.184,0.451,0.079
0.062,0.125,0.812,0.5,0.25,0.188,0.0,0.062,0.125,0.062,0.812,0.25,0.125,0.562,0.062,0.062,0.688,0.125,0.188,0.188,0.625,0.188,0.125,0.312,0.688,0.831,0.099,-0.541,-0.895,0.219
0.25,0.312,0.438,0.188,0.188,0.188,0.0,0.188,0.312,0.25,0.438,0.188,0.312,0.312,0.0,0.0,0.375,0.312,0.312,0.188,0.438,0.312,0.062,0.5,0.5,1.267,0.788,0.124,-0.279,-0.106
0.0,0.0,1.0,0.125,0.812,0.625,0.0,0.188,0.0,0.0,1.0,0.812,0.062,0.0,0.0,0.125,0.188,0.75,0.062,0.688,0.062,0.25,0.0,0.312,0.688,-2.878,-0.782,-0.769,-0.311,-0.317
0.125,0.125,0.75,0.25,0.188,0.188,0.125,0.062,0.125,0.125,0.75,0.25,0.562,0.312,0.188,0.0,0.25,0.125,0.625,0.062,0.625,0.438,0.125,0.688,0.312,1.406,0.593,0.537,-0.586,-0.178
0.188,0.188,0.625,0.125,0.375,0.375,0.0,0.062,0.188,0.188,0.625,0.25,0.312,0.438,0.062,0.0,0.375,0.188,0.438,0.375,0.375,0.188,0.312,0.688,0.312,1.731,-0.531,0.009,-0.493,-0.136
0.188,0.062,0.75,0.125,0.562,0.438,0.0,0.188,0.062,0.188,0.75,0.562,0.25,0.188,0.062,0.0,0.312,0.5,0.188,0.562,0.125,0.188,0.125,0.438,0.562,-0.549,-0.049,-0.615,0.111,-0.184
0.125,0.125,0.75,0.125,0.5,0.438,0.0,0.125,0.125,0.125,0.75,0.438,0.25,0.25,0.0,0.062,0.312,0.375,0.312,0.562,0.312,0.125,0.312,0.625,0.375,0.463,-0.487,0.221,-0.201,-0.373
